text,label
"hey guys br br i have been looking every where to find these two movies and i can't find them anywhere in my local area i am australian could you please help me and tell me where i can buy it from in general home ward bound 1 and 2 are the best movies i have ever seen and are good for people of all ages it was my favourite movie wen i was 5 and it still is even now when i am a teenager it is a great movie for the whole family my entire family loves this movie except for my younger sister because i have watched it that many times that she is sick of it i love this movie and i cant wait till i can buy it again on dvd br br sally",1
"just kidding br br seeking greener pastures in the form of hustling in new york city jon voight is young optimist cowboy almost forest gump like joe buck from texas it does not take long for the big apple to mercilessly swallow him and his ambitions whole and very soon joe is the target of both the coldness of new yorkers and cons from its street thugs given his pure heart he takes pity on one of these thugs ratso rizzo dustin hoffman and later moves in with him in his wreck of apartment and the two literally struggle to survive br br while midnight comedy is labeled as a drama it is best described as either a tragic comedy or a comedic tragedy in my opinion it is above all a beautiful film that is stylish in capturing the contemporary hippie vibe of the late 1960s with its mandatory dizzying warhol party cinematography and juxtaposing it with ultra urban new york city the film crams cowboy joe buck somewhere in between thereby emphasizing his out of place position we feel for his struggle to fit in but also to merely get enough money to feed ratso rizzo br br midnight cowboy brought tears to my eyes as it is also rich in substance and projects a lot of heart i imagine this film must have inspired both forest gump with its pure hearted and out of place lead character and to an extent the crocodile dundee films as it deals with almost the exact same",1
"this move is about as bad as they come i was however forced to give it a 2 for the scenery there are many great shots of the southwest including many in monument valley one of the most breathtaking places in the us it is also starting with john ford one of the most filmed in fact one scene with kris and the girl was filmed on a place called john ford point",0
"witty funny intelligent awesome i was flipping channels late one night years ago came across this and a wildfire started i was staying up late every night and taping it for everyone i know a few like 3 people out of the almost 100 people i made watch this didn't think it was as awesome as i did the others were laughing out loud so hard they were crying and thanking me at the same time please do yourself a favor run don't walk watch this and enjoy intelligence and humor it's a win win situation i wish i could have afternoon tea with him and meet the truly rare comedian that we as a society need more of sanechaos",1
"i've always liked fred macmurray andalthough her career was tragically cut shorti think carole lombard is fun to watch pair these two major and attractive stars together add top supporting players like jean dixon anthony quinn dorothy lamour and charles butterworth give them a romantic script team them with noted director mitchell leisen and you geta mediocre movie experience br br skid johnson fred and maggie carole meet cute during her visit to the panama canal and spend the next few weeks falling in love skid's a great trumpeter so he embarks on a musical career which is predictably meteoric in both its rise and fall during his climb to musical stardom he neglects maggie who later inspires him to start over after he's hit rock bottom ah yesit's the true hollywood happy ending which comes none too soon br br stars and a director of this caliber should guarantee success but this movie is so predictable and slow paced that it's difficult to watch at times the early scenes set in panama are so draggy that they seem to go on forever and later an alcoholic skid just wanders endlessly in new york fred and carole try their best but the tired script and s l o w direction just don't give them a chance even the final scene in which maggie encourages skid to rise from the ashes of alcohol and disappointment just doesn't ring true br br this movie should be seen once to watch some early performances from stars macmurray and lombard",0
"i'd heard of eddie izzard but had never seen him in action i knew he was a transvestite and when i saw he was on hbo one night last summer i put it on not knowing how my husband would react well he blew us away he's better than robin williams ever was he has total control of the audience when he does the 'englebert is dead no he's not' routine the audience doesn't know what to think by the end god as james mason is also an inspired touch and his version of the python spanish inquisition as carried out by the church of england 'cake or death ' is priceless my jaws were aching from laughter by the end of the show we scoured the tv listings for months after that to be able to see him again and were lucky enough to tape him the next time he came on if you get the chance to see this show cancel everything and tape it you won't be disappointed",1
"i saw this at the premiere in melbourne br br it is shallow two dimensional unaffecting and hard to believe given the subject matter boring the actors are passable but they didn't have much to work with given the very plodding and unimpressive script for those who might have worried that ned kelly would be over intellectualised you can take comfort in the fact that this telling of the story is utterly without any literary depth at all told entirely on the surface and full of central casting standards however it doesn't work as a popcorn film either its pacing is too off kilter and its craft is too lacking to satisfy even on the level of a mundane actioner br br i very much doubt gregor jordan could sit back and say to himself this is the best i could have done with the material br br ned kelly is a fascinating figure and equally so is the national response to him possibly folk genius possibly class warrior possibly psychopath and probably all these things he has dominated australian true mythology for over 120 years once again his story has failed miserably on the big screen br br such is life",0
"a super unusual film from audiard read my lips is a pulpy lonely hearts thriller it's perfect for the handsomely grizzled charisma of vincent cassel and features a marvellously contained performance from emanuelle devos devos is a recurring feature of audiard in the same way that karin viard pops up for jean pierre jeunet unconventionally beautiful she's referred to by everyone as unattractive in this film versatile and capable of a subordinate profile br br this is almost the definition of her role as carla a put upon office dogsbody taunted by colleagues exploiting her deafness yet she finds an ami d'exploitation if you like in cassel's ex con paul each exploits the other's unconventional talents theft and lip reading to struggle through their respective situations and form an unconventionally romantic rapprochement devos audiard manage carla's deafness and its attendant warped inner world with discreet stylish flair br br in this film 2001 audiard is already clearly in control of his handling on tension action and investing his frame with a truly visceral experience which will become the great hit a prophet of nine years later 7 10",1
"oh boy god bless the 1970's we got some of the most horrific movies that came out of that decade the exorcist jaws the texas chainsaw massacre halloween and now raggedy ann andy a musical adventure this movie must be used to torture captured terrorists into telling us about their evil plans to destroy the world i mean seriously this movie scared the heck out of me my sister had this movie in her vhs collection and i was kind of curious what kind of movie they would make out of a doll that came out of the great depression for kids with very little pocket money what the heck it's kinda funny how this movie is the 1970's version of toy story pretty much down to a key only this was a thousand times scarier disney had alice in wonderland to get into the drug trips for the children br br whenever marcella leaves the room raggedy ann along with her brother raggedy andy and a whole nursery full of colorful toys come to life on marcella's birthday a new doll babette arrives from paris france to the united states of america babette is a spoiled creature who is unaware she is a doll but the friendly raggedy ann does everything she can to make babette feel at home however the pirate captain contagious kidnaps her raggedy ann and andy set off to try to rescue her before marcella discovers babette is gone out in the world outside the nursery the two meet the camel",1
"the sopranos is arguably the greatest show in dramatic television history br br its hard to think of another series that boasts so much intelligence sublime writing or first rate performances br br across its epic scope it produces fresh and iconic characters and a constant level of high quality centering around the life of one tony soprano a man who lives in two families one is the conventional wife and two kids nuclear family the other a huge new jersey mafia group of which he is the boss of both played by james gandolfini of true romance and the mexican fame tony is a fascinating scary but also likable guy full praise must be given to gandolfini for making a womanising and horrifically aggressive brute a genuinely identifiable and perfect leading man contemporay american drama has never had such an arresting and iconic figure as tony br br the cast of hundreds never boasts a flat performance and such stand out characters like paulie walnuts and ralph cifaretto will stick in your memory for ever br br the true genius of this tale however is the creator and writers bravery and revolutionary take on a conventional drama series twenty minute long dream sequences powerful and original use of symbolism and metaphorical imagery and truly shocking scenes of violence yet all this style is met by truly touching themes of love honour and respect for family the series never becomes cold hearted or gratuitous br br with tv now competitive and often poor the sopranos stands",1
"the screaming skull opens with a warning and an offer for free burial services if you should die watching it now there's a hook the story itself has a fairly interesting premise for a horror flick scheming husband marries a wealthy woman with a history of mental illness then attempts to convince her that she's going insane with shrill noises mysterious knocking and skulls that turn up at inopportune times add to the formula a sufficiently creepy gardener who still cherishes the memory of the man's first wife who he was devoted to maybe it's just that the 1950's didn't have the technology to pull off some of the scare scenes needed to juice up this movie the techniques used here seem contrived and mundane but then again when i first saw house on haunted hill as a nine year old it gave me the heebie jeebies in the same way i'm sure this film did for young viewers of the same era br br don't get me wrong the film is not terrible it just seems to get tedious at times but there's some great atmospheric tension in the generally huge but unfurnished whitlock home and the gardens and pool are a nice touch for me the best played out scene involves eric whitlock john hudson going maniacal in the pond attempting to retrieve the hidden skull he just wades right in clothes and all in neat contrast to the mentally challenged gardener director alex nicol in a dual role it makes you wonder who",0
"i think this is a lovely family movie there are plenty of hilarious scenes and heart warming moments to be had throughout the movie the actors are great and the effects well executed throughout danny glover plays george knox who manages the terrible baseball team 'the angels' and is great throughout the film also fantastic are the young actors joseph gordon levitt and milton davis jr christopher lloyd is good as al 'the angel' and the effects are great in this top notch disney movie a touching and heart warming movie which everyone should enjoy",1
"when you actually find a video game to be scary or disturbing you know that the developers have done some very serious and hard work to make the whole thing work undying used the unreal engine but had very little resemblance to that game when it came to actual gameplay speaking of gameplay the pace is slowed down and the sheer difficulty in progressing through the very hard to kill enemies makes for a very unqiue gameplay experience the production values are so high that you may even forget that it is a video game the game itself is also packed with loads of secrets that you have to uncover using special vision the level design in fantastic and the weapons as well as the enemies will really shock you",1
"shame really very rarely do i watch a film and am left feeling disappointed at the end i've seen quite a few of ira levin's adaptations 'rosemary's baby' and 'the stepford wives' and liked both them but this just didn't appeal to me br br when i read the plot outline an award winning playwright michael caine decides to murder one of his former pupils christopher reeve and steel his script for his own success i was excited i like thrillers michael caine's a good actor sidney lumet's a good director and ira levin's work is generally good br br i won't spoil it for anyone who hasn't seen it yet but all i'd say is there are loads of twists and turns so many its kind of hard to explain the film's plot line in detail without giving it away i enjoyed the first 45 minutes before the twists and turns began to occur and at that point my interest and enjoyment began to fade out though i have to give lumet credit for the very amusing ending which did make me laugh out loud br br the main cast michael caine christopher reeve dyan cannon and irene worth were all brilliant in their roles though worth's obvious fake russian accent got on my nerves slightly nothing personal irene i think any actor's fake accent would irritate me not sure if cannon's character was meant to be annoyingly funny but dyan managed to annoy and amuse at the same time br br anyone reading this",0
"new york i love you is a collective work of eleven short films with each segment running around 10 minutes long the shorts don't exactly relate but they all have something in common love every short is about finding love either if it's about a couple or just two strangers chitchatting the film stars an ensemble cast among them shia labeouf natalie portman hayden christensen orlando bloom chris cooper andy garcia christina ricci irrfan khan robin wright penn julie christie ethan hawke bradley cooper rachel bilson and anton yelchin with such a stellar cast and such an interesting premise i was expecting a tremendous film the problem is new york i love you doesn't add up it remains the sum of its parts some of the segments are funny original and interesting but others are so meaningless orlando bloom christina ricci and ethan hawke maggie q segments that it's appalling the film is definitely uneven and has a very experimental tone story wise it seems like something a few film students could put together having said that the film has some great moments as well one of the best being the segment about an old couple played by eli wallach and cloris leachman walking along in brooklyn on their 67th wedding anniversary and it's moments like this that made me as a viewer wish the film was more consistent because there's a lot of potential here but as unsatisfying as the overall story ends up being for me the cinematography and soundtrack saved the all thing",1
"roman polanski masterfully directs this sort of a variation on the same theme as repulsion i can't imagine there is one honest movie goer not able to acknowledge the fine director in le locataire yet both parts of the dyptic may not be thoroughly satisfactory to most people myself included br br polanski is very good at making us feels the inner torture of his characters deneuve in repulsion and himself in le locataire starting with some lack of self assurance soon to turn gradually into psychological uneasiness eventually blossoming into an irreversible physical malaise the shared ordeal for the characters and audience is really dissimilar from the fright and tension of horror movies since there's no tangible supernatural element here while horror movies allow for some kind of catharsis be it cheap or more elaborate polanski sadistically tortures us and if in his latter opus the dark humour is permanent we are mostly on our nerves as opposed to on the edge of our seats br br suspense horror all this is a matter of playing with the audience's expectations alternatively fooling and fulfilling them not literally with people's nerves in my book rosemary's baby is a far greater achievement because sheer paranoia and plain rationality are in constant struggle the story is about a couple moving in a strange flat while we are forced to identify with a sole character what's more if the fantasy elements are all in the hero's mind the situation is most uncomfortable since we the viewers are compelled to",1
"the plot is straightforward an old man living off a main road in woodland one day witnesses a man murdering a child in the woods soft for digging follows the old man's attempts to try and convince the police that what he saw was not a figment of his imagination however there is a problem each time the old man guides the police to where the murder happen no corpse can be found soft for digging has a diminutive dialogue which reflects the majority of the scenes of the film an old man living by himself in a house during the film i found that i was scared twice namely when the murdered child abruptly appears before the old man the rest of the film i have to admit did not engage me i found the tempo of the film a little too slow the limited dialogue was not a problem however the development of the story and its conclusions after watching the film took too long i feel more could have been made of the relationship ghostly encounters with the child and the old man alone in the woods at night unsure of your own mind can lead to some eerie situations children are always scary as ghosts see dark water",0
"i love the comics although i do have problems fully understanding the stories  the visual style is unique with all its dirt dust and decay so i thought i knew what i was up for surprisingly i understood the main plot  but some extremely poorly decisions where made for its visual style br br i mean really bad looking cg human actors in close ups why it did not work at all horus and the other egyption gods was successfully made in cg and very close to the comic version br br i think with real actors this movie could have been a cult movie br br what a shame",0
"really really i know if you make a political war movie you will get noticed but this movie was just garbage horrible in every sense terribly inaccurate in so many ways i have an easier time believing the president of the united states suiting up flying a jet fighter and shooting down aliens it is easier to note the few things that were right my jaw dropped when i saw some one say that this movie was the best in the last 25 years it was overacted seemingly pointless plot diversions and had questionable cinematography at times br br x box youtube acupat utilities did anyone check that these things did not exist in 2004 it's not like you had to do extensive research it was only five years before this movie came out i am an iraq war veteran and if you spent one day with an infantry platoon or an eod squad you would realize how b s this movie is to compare this to platoon or saving private ryan is ludicrous why don't you just throw commando and red dawn in there too i think those might be more accurate br br if for some reason you can see past the unbelievable plot the historical and factual discrepancies then this movie might just be ok nothing more if you keep on hearing oscar buzz and have to add your own pompous review go right ahead as for me i am writing the director to see if i can get my 131 minutes back",0
"i don't want to spend to long here rambling about the plot you've seen the trailer and if you haven't its online i don't recommend seeing it though it was poorly crafted and didn't pack any of the laughs or magic from the film so those avoiding this film due to its lousy trailer should give this one a chance it's really funny i was blown away by the cleverness and originality in this film the first 40 minutes had me on the floor in hysterics my only problem was that it unnecessarily evolved into a bad austin powers film in the final 20 this however is one of the few films where the campy ending didn't make me dislike the rest of the film which is normally the case everyone gives a great performance especially joan cusack and there are some really great moments throughout i personally plan on seeing it again when it comes out only to catch all the details which i was laughing over during the first viewing",1
"tapeheads a scrappy intermittently funny spoof of the music video business might have been the perfect comedic short and stars john cusack and tim robbins are effortlessly in the swing of the nonsensical chaos involved they play two semi savvy security guards in los angeles who start their own company video aces making hilarious videos for groups parties and one deathbed star it's too bad the filmmakers had to invent a dim side plot to pad the running time shenanigans involving a crooked politician and his henchmen which doesn't do much except take away from the movie's primary strength sending up the music culture of the late '80s still cusack and robbins create a couple of originals here nerdy but loose street smart without being hipsters or posers these guys are on the same nutty wavelength and they never put each other down they're the real thing in buddy comedies 1 2 from",0
"i had high hopes for this film because i thought clean shaven kerrigan's first feature was absolutely terrific the most assuredly cinematic low budget film i'd ever seen br br but much of claire dolan is utterly pointless and flat scene after scene seems randomly tossed into the mix without much thought for narrative or character br br is claire trying to escape being a prostitute or not hard to tell why does she pick up the trick at the airport if she wants to escape that life why does she then not pick up tricks when she needs money in seattle why do we have to see her dye her hair to what is virtually the exact same color why does claire accept some johns and not others the filmmaker doesn't seem to know br br it feels as if everything is improvised though i understand this wasn't the case and the filmmakers just held a camera on it as if they were making a verite documentary br br after the screening i saw kerrigan defended his lack of narrative choices by condemning film narrative as politically conservative it sounded like learned rhetoric i think it was a cop out br br i am saddened that the maker of a film as exciting as clean shaven would go on to make such a lame film as this one and then defend it with tired old political cliches",0
"i tried watching this abomination of the cinema when i was five years old i have never been the same since filled to the brim with drug induced images that reek of the common ravings of your average asylum resident this movie despite its colorful appearance is not for humans especially not children br br it starts out innocently enough with a poor boy who ruins his classmate's drum by wait for it putting his head through it yes putting his head through it but fear not my friends he is quickly consoled by his chirping flute which is weird enough i'll grant you but still acceptable br br then the movie morphs into a combination of wizard of oz and where the wild things are but loses all the warm and fuzzy aspects of either of these two books br br so this seven foot yellow relative of barney befriends this poor boy and plunges him even deeper into despair br br and to add the pleasant array of horrific themes a carnivorous boat formerly a friend of the motley crew of hobbling grandfather clocks and doped up dragons is added to the mix of mayhem br br the most comforting image in the midst of this chaos is the villain aptly dubbed witchiepoo of course she has problems of her own what with an obvious plastic mask constricting her facial expressions to having to deal with a broomstick whose gas level always seemed to be at its lowest at the most inopportune moments as",0
"professor paul steiner is doing research in matter transference he has developed a machine that he can use to make an object like a wrist watch or rodent disappear only to have that object re materialize in a different location but there are those at his research facility that do not like or approve of his experiments and will do whatever it takes to see that he doesn't succeed after a failed demonstration that might have saved his funding professor steiner decides to test his machine on himself as expected things go horribly wrong and he is transformed into a heavily scared madman whose mere touch will kill br br in hindsight maybe it wasn't such a good idea to re watch the projected man in the same week i watched the fly return of the fly and curse of the fly there seems to be only so many movies about matter transference and the potentially horrendous effects it can have on the human body that one person should be made to endure in a three or four day period i'm not sure what those responsible for the movie list as their source material for the projected man but much of it is so similar to the fly movies that it cannot be mere coincidence however the projected man isn't even nearly as good as the worst of the fly trilogy br br besides being terribly unoriginal the projected man has several other problems that really hurt the enjoyment of the movie a big issue i",0
"three years ago rachel therese fretwell was partying at the lake with her friends when her brother falls out of a boat and drowns rachel's friends think it is time for her to stop beating herself up and taking blame for something she had no control over so grab the brew and something to chew and head back to the same lake that has been in rachel's constant nightmares as expected a bloodbath has already started when two of the friends are splattered before even heading to the party this flick has the feel of a high school play where everyone forgot their lines and 'winged it' very badly writer marcos gabriel gave himself the meatier role as rachel's boyfriend leo outside of fretwell and gabriel there are some pretty lame acting and a few characters you would like to choke the crap out of before they get 'offed' giving attention to a few more players that had the nerve to appear erin gallagher andrew williams jasmine trice and derek nieves this is one memorial day you wouldn't mind missing",0
"always enjoy great films which deal with the super natural and the deep thoughts of the spiritual world however this film just turned me off as far as its production and direction there is nothing to go into deep discussion about what this story has to tell all i can say is that it was a big waste of time and effort to put it on the big screen the actors namely mark addy thomas garrett gave an outstanding performance in his native land england and we have seen him in still standing a tv series heath ledger played the real wicked dude and we have recently viewed him in brokeback mountain '05 gave a great supporting role shannyn sossaman mara sinclair did a good job of seducing a priest from a church not recognized by any faith don't waste your time you will be sorry",0
"yes kazaam is one of those horribly bad movies that almost reminds one of everything that is wrong with not just kids movies but with humanity here we have shaq as a rapping genie yes a rapping genie where he does everything from making bad puns to dressing in ridiculous outfits all ending in him in a christ like pose with lots of light surrounding him so yeah expect really cheesy bits including the first wish being a lot of junk food falling down from the sky and regrettably not knocking out the two main characters particularly the kid what might not be expected is that a film with a kid and shaquille o'neill would be so incredibly schmaltzy the main plot of the film involves this kid played in that all too typical and annoying kid fashion by the great grandson of frank capra where in which the kid is yelling out his dialog angrily who comes upon a genie who's been trapped in a boom box then hiarity ensues as the kid makes the shaq genie his quasi slave as he waits on his last two wishes as he tries to make amends with his shady gang type absentee father br br this really sappy contrived son and father story would be bad enough as there are certain lines that have been uttered in a million other movies i e the two chances in life speech from father to son but it's shaquille o'neill who is both the reason to watch the film ironically",0
"i like the movie twisted desire had jeremy jordan one of my favorite and one of the cutest actors ever melissa joan hart is a good actress i've seen most of her movies but all of jeremy jordan's the thing i dislike about twisted desire is when nick gets arrested and jennifer rats him out twisted desire is my second favorite movie my first is the goonies but i still love jeremy jordan",1
"very few chess movies have been made over the last couple of years but this one is more than just a chess movie its a story about the need to be loved and the need to win it john toturro plays a psychologically challenged man nothing matters to him accept 64 squares and 32 pieces the game validates him as a person when he looses a game he looses the one thing that makes sense to him and john torturro expresses this in a beautiful fashion even the love of a woman was not enough to save him from his sad existence it makes you wonder if there other luzon's out there who obsess about the game i am sure they are if you are a chess enthusiast it won't hurt to watch it its an intelligent piece of work laid out properly and executed well it achieves its objectives unfortunately i doubt if there will be sequel",1
"i saw this movie on tv when it came out and never seen it again for the life of me i couldn't remember the title and just stumbled across it while checking roy thinne's movie credits excellent dark and spooky tv horror movie in the same class as crowhaven farm don't be afraid of the dark and satan's school for girls all lost satanic classics i also think it has many parallels to clint eastwood's classic high plains drifter why don't they release these great little movies especially when you consider all of the more recent garbage that fills the discount dvd racks at wal mart most of these flicks have a cult following so sales shouldn't be a problem",1
"well tivo recorded this because of angelina jolie it had 2 5 stars it seemed promising it went downhill fast br br there is much overacting even from angelina she's about 20 and playing a 16 year old there are three characters that are supposed to be italian everyone else is italian american the native italian accents were good i thought the young male lead is cute my wife says everyone else in this movie is a fat italian woman even the men br br i should have known that when dick van patten was cast as a randy doctor that that was a bad sign the two couples chasing their kids around are like the four italian stooges br br my wife would not let go of the remote hopefully she was not taking makeup clothing or decorating tips it was a sick and twisted combination of hideous and garish it was hidegarishous br br cutting off my left ventricle was not sufficient to distract from the pain of watching this movie if this movie shows up on your tv do yourself a favor and ram your head through the tv screen instead you'll be glad you did the only movie i've ever seen that was worse than this was hamburger the movie or maybe deadly friend",0
"wha bam someone surely had fun devouring a whole truckload of acid mushrooms and then subsequently scripting this crazy excuse for a motion picture writer howard cohen expands the sword sorcery concept with a couple of extra s's like sex silliness more sex and sheer stupidity this isn't just a movie this is every juvenile pervert's dreams fantasies come true deathstalker has it all blood violence trolls female mud wrestling attempted rape successful rape life sized pigs awful hairstyles hideously oiled muscular bodies multi sexual orgies gay warriors tournaments to the death delirious witches dismemberment laughable villains and boobs boobs booooooooobies deathstalker literally wipes the floor with its obvious role model conan the barbarian when it comes to terms of cheesiness and sheer flamboyance the story is evidently of minor importance lone and gay only he doesn't know it yet warrior deathstalker goes on a mission as commanded by an annoying witch to gather the three notorious elements of creation or something like that on his journey he combines forces with a troll turned human a fighter who's even gayer than he is and last but not least a luscious lady who doesn't really seem to be a big support of the concept of bras together they head for the kingdom of the ultimately evil munkar where they'll participate in a warriors' tournament and conquer no less than two out of three elements munkar is bald guy with half a spider's web tattooed on his skull and an impressive harem that would even make the wealthiest",0
"wow this is the worst movie ever the only reason i signed up for imdb was so i could complain about this movie i have never walked out of a theater or stoped a dvd but i almost stopped this one and i should have but i watched it all the way to the end just to get let down again with an absolutely terrible ending wow if this is all that wes craven can produce his time is long up i've never seen the first one and will never after watching this its terrible acting with a terrible plot hey looks someone is shinning a mirror at us lets go check it out and the sad part is that when this movie came to dvd it was completely checked out at blockbuster forever so i feel bad for all the people that saw this junk",0
"'chances are' a big mistake to see you could know director emile ardolino from 'dirty dancing' and 'sister act' and should expect something amusing from him but i guess i have to disillusion you he made a really really bad movie br br according to the story christopher mcdonald dies to reburn as a baby the baby grows up robert downey jr and jr returns his former home town where she meets his former daughter mary stuart masterson complicated huh br br they fall in love with each other then appears jr former wife cybill shepherd and jr falls in love with her too i guess i don't even have to mention that she loves ryan o'neil br br in one of his first roles robert downey jr's on his worst he copies michael j fox br br after the 'moonlighting' shepherd proves that she's not suitable for acting in movies br br anyway there's one thing this unfunny comedy can be used as antidote to insomnia",0
