text,label
What is 12 divided by 4?,12 divided by 4 is 3.
What is 100 divided by 10?,100 divided by 10 is 10.
What is the square root of 16?,The square root of 16 is 4.
What is the square root of 49?,The square root of 49 is 7.
What is the value of pi?,"Pi is the ratio of a circle's circumference to its diameter, approximately 3.14159."
What is the value of e?,"Euler's number e is approximately 2.71828, the base of natural logarithms."
What is the first prime number?,"The first prime number is 2, the only even prime."
What is the next prime after 10?,The prime number just after 10 is 11.
How many sides does a triangle have?,A triangle has 3 sides.
How many degrees are in a straight line?,A straight line measures 180 degrees.
What is the sum of angles in a triangle?,The interior angles of a triangle always add up to 180 degrees.
What is 10 times 10?,10 times 10 is 100.
What is half of 30?,Half of 30 is 15.
What is 100 minus 37?,100 minus 37 equals 63.
What is the capital of France?,The capital of France is Paris.
What is the capital of Japan?,The capital of Japan is Tokyo.
What is the capital of Australia?,The capital of Australia is Canberra.
What is the capital of Canada?,The capital of Canada is Ottawa.
What is the capital of Brazil?,The capital of Brazil is Brasilia.
What is the capital of Egypt?,The capital of Egypt is Cairo.
What is the capital of the United Kingdom?,The capital of the United Kingdom is London.
What is the capital of Italy?,The capital of Italy is Rome.
What is the capital of Germany?,The capital of Germany is Berlin.
What is the capital of India?,The capital of India is New Delhi.
What is the capital of Spain?,The capital of Spain is Madrid.
What is the capital of Russia?,The capital of Russia is Moscow.
Which planet is closest to the Sun?,Mercury is the closest planet to the Sun.
What is the largest planet in our solar system?,Jupiter is the largest planet in the solar system.
Which planet is known as the Red Planet?,Mars is known as the Red Planet because of its iron oxide surface.
How many planets are in our solar system?,There are 8 planets in our solar system.
What is the second planet from the Sun?,Venus is the second planet from the Sun.
Which planet has the rings in our solar system?,Saturn is the planet famous for its prominent rings.
What is the farthest planet from the Sun?,Neptune is the farthest planet from the Sun.
Which planet is called Earth's twin?,Venus is sometimes called Earth's twin due to its similar size.
What is the chemical symbol for water?,"Water is H2O, composed of two hydrogen atoms and one oxygen atom."
What is the chemical symbol for gold?,"The chemical symbol for gold is Au, from the Latin aurum."
What is the chemical symbol for oxygen?,The chemical symbol for oxygen is O.
What is the chemical symbol for carbon?,The chemical symbol for carbon is C.
What is the lightest element?,"Hydrogen is the lightest element, with atomic number 1."
What is the chemical symbol for iron?,"The chemical symbol for iron is Fe, from the Latin ferrum."
What is the symbol for helium?,Helium is the noble gas with the symbol He.
What is the chemical symbol for sodium?,The chemical symbol for sodium is Na.
In what year did World War II end?,World War II ended in 1945.
How many continents are there?,"There are 7 continents: Africa, Antarctica, Asia, Europe, North America, Oceania, and South America."
What is Python?,"Python is a high-level, interpreted programming language known for its readability and versatility."
What is machine learning?,Machine learning is a field of AI where computers learn patterns from data without being explicitly programmed.
What is a prime number?,A prime number is a whole number greater than 1 that is divisible only by 1 and itself.
What is artificial intelligence?,Artificial intelligence is the field of building systems that perform tasks that normally require human intelligence.
Explain what a function is in programming.,A function is a reusable block of code that performs a specific task when called.
Define what a variable is in Python.,"A variable is a named reference that stores a value, like x = 5."
